,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
6100,"Tension In Jos As Gunmen Kill 16, Including Nine Family Members",9/28/2018,,Jos North,Plateau,16.0,,State Actor,Sectarian Actor,,,,,,,,,11.0,,,,,,,5.0,,,,Gun,,,Other,,,Government Building,,,,,Other,Suspected Fulani herdsmen killed 11; 5 killed by soldiers,http://saharareporters.com/2018/09/28/tension-jos-gunmen-kill-12-including-nine-family-members,http://saharareporters.com/2018/09/28/govt-imposes-curfew-jos-death-toll-rises-16,https://punchng.com/lalong-declares-curfew-as-gunmen-murder-eight-family-members-two-others-in-jos/,9.9427795,8.893219948,"Jos North, Plateau, Nigeria"
6101,"Gunmen sacks Delta police station, kill two",9/28/2018,Aboh,Ndokwa East,Delta,2.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://punchng.com/gunmen-sacks-delta-police-station-kill-two/,https://www.vanguardngr.com/2018/09/gunmen-invades-police-station-in-delta-kill-2-officers/,,5.6349602,6.402019978,"Ndokwa East, Delta, Nigeria"
6132,APC Youths Set Akwa Ibom Police Station Ablaze over Imposition of Candidate,10/8/2018,,Okobo,Akwa Ibom,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.thisdaylive.com/index.php/2018/10/08/apc-youths-set-akwa-ibom-police-station-ablaze-over-imposition-of-candidate/,,,4.8471699,8.127160072,"Okobo, Akwa Ibom, Nigeria"
6171,"Hoodlums invade Delta police station, assault DPO, DCO",10/21/2018,Asaba,Oshimili South,Delta,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.vanguardngr.com/2018/10/hoodlums-invade-delta-police-station-assault-dpo-dco/,,,6.1968699,6.725900173,"Oshimili South, Delta, Nigeria"
6209,"Boko Haram 'Kills' Some Soldiers, 'Injures' An Officer In Raid On Borno Town",11/5/2018,Kukawa,Kukawa,Borno,5.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,Other,"Killed ""some"" soldiers",http://saharareporters.com/2018/11/07/boko-haram-kills-some-soldiers-injures-officer-raid-borno-town,https://www.premiumtimesng.com/news/headlines/294620-one-soldier-killed-16-missing-in-separate-boko-haram-attacks-on-nigerian-forces.html,https://www.vanguardngr.com/2018/11/breaking-16-nigeria-troops-missing-after-boko-haram-attack/,12.92671,13.58012009,"Kukawa, Borno, Nigeria"
6223,Journalists Chased Out With Broken Bottles As Hoodlums Take Over Ondo Assembly,11/9/2018,,Akure South,Ondo,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,0.0,,,,,,,,Other,,,Government Building,,,,,,,http://saharareporters.com/2018/11/09/breaking-journalists-chased-out-broken-bottles-hoodlums-take-over-ondo-assembly,https://guardian.ng/news/hoodlums-invade-ondo-assembly-as-speaker-deputy-sacked/,,7.22368,5.168630123,"Akure South, Ondo, Nigeria"
6239,Three Nigerian soldiers killed in Boko Haram attack on military base,11/14/2018,Kareto,Mobbar,Borno,3.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,,https://guardian.ng/news/is-backed-boko-haram-faction-claims-military-base-attack/,https://punchng.com/breaking-three-nigerian-soldiers-killed-in-boko-haram-attack-on-military-base/,https://www.vanguardngr.com/2018/11/three-nigerian-soldiers-killed-in-boko-haram-attack-on-military-base/,13.11156,12.50559998,"Mobbar, Borno, Nigeria"
6243,Shooting at Anambra Assembly as Security Agents Battle Thugs,11/15/2018,,Awka South,Anambra,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.thisdaylive.com/index.php/2018/11/15/shooting-at-anambra-assembly-as-security-agents-battle-thugs/,,,6.2077699,7.075339794,"Awka South, Anambra, Nigeria"
6246,Driver Killed as Protesters Sack Nigeria Customs Post in Benin,11/15/2018,Ovbiogie,Ovia North-East,Edo,1.0,,State Actor,,,,,Other,,,,,,,,,,,,1.0,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.thisdaylive.com/index.php/2018/11/16/driver-killed-as-protesters-sack-nigeria-customs-post-in-benin/,,,6.7880301,5.5103302,"Ovia North-East, Edo, Nigeria"
6254,Militants kill 118 Nigerian soldiers in attack on army base,11/18/2018,Metele ,Guzamala,Borno,118.0,Boko Haram,,,,,,,,,,118.0,,,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,,Sunday - Tuesday,https://af.reuters.com/article/nigeriaNews/idAFL8N1XX4QI?feedType=RSS&feedName=nigeriaNews,https://guardian.ng/news/is-claims-118-killed-in-west-africa-province-after-nigeria-army-bases-attacked/,https://www.premiumtimesng.com/news/headlines/297343-metele-boko-haram-attack-soldiers-death-toll-rises-to-118-over-150-missing.html,12.94599,13.18229008,"Guzamala, Borno, Nigeria"
6269,Four reportedly killed as armed robbers invade bank,11/19/2018,Ile-Ife,Ijero,Ekiti,4.0,,,,,,Robber,,,,,2.0,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,Bank,,,,https://www.premiumtimesng.com/regional/ssouth-west/296628-four-reportedly-killed-as-armed-robbers-invade-bank.html,https://www.thisdaylive.com/index.php/2018/11/20/four-killed-in-ekiti-bank-robbery/,https://www.vanguardngr.com/2018/11/4-killed-as-robbers-invade-ekiti-bank/,7.810918,5.068259,"Ijero, Ekiti, Nigeria"
6279,"Boko Haram kills three soldiers, overrun Nigerian army base",11/27/2018,Cross-Kauwa,Kukawa,Borno,3.0,Boko Haram,State Actor,,,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://guardian.ng/news/nigeria/boko-haram-kills-three-soldiers-overrun-nigerian-army-base/,https://www.premiumtimesng.com/news/headlines/297941-nigerian-soldiers-repel-boko-haram-attack-on-borno-community-official.html,https://www.vanguardngr.com/2018/11/boko-haram-kills-three-soldiers-overrun-nigerian-army-base/,12.92671,13.58012009,"Kukawa, Borno, Nigeria"
6280,"Gunfire, as Akwa Ibom Assembly crisis escalates",11/27/2018,,Uyo,Akwa Ibom,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.vanguardngr.com/2018/11/gunfire-as-akwa-ibom-assembly-crisis-escalates/,https://punchng.com/violence-at-akwa-ibom-assembly/,,5.0209198,7.934440136,"Uyo, Akwa Ibom, Nigeria"
6287,Nigerian soldiers repel another Boko Haram attack on army base,11/28/2018,Arege,Abadam,Borno,20.0,Boko Haram,State Actor,,,,,,,,20.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,"killed ""many"" BHT",https://www.premiumtimesng.com/news/headlines/298254-nigerian-soldiers-repel-another-boko-haram-attack-on-army-base-official.html,https://www.vanguardngr.com/2018/11/troops-repel-boko-haram-kill-4-terrorists-in-borno/,,13.61792,13.26700974,"Abadam, Borno, Nigeria"
6294,"8 soldiers dead, 10 terrorists killed in Yobe",12/1/2018,Buni Gari,Gujba,Yobe,18.0,Boko Haram,State Actor,,,,,,,,10.0,8.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,Other,,https://guardian.ng/news/death-toll-rises-in-boko-haram-base-attack/,https://www.vanguardngr.com/2018/12/again-boko-haram-attacks-military-base-residents-of-buni-gari-in-yobe/,https://punchng.com/eight-soldiers-10-bharam-terrorists-killed-in-yobe-borno-attacks/,11.50333,11.93286037,"Gujba, Yobe, Nigeria"
6315,"Boko Haram kills two soldiers, three civilians in Jakana",12/7/2018,Jakana,Kaga,Borno,5.0,Boko Haram,State Actor,,,,,,,,,2.0,,,,,,,,3.0,,,,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/2018/12/08/seven-killed-dozens-injured-boko-haram-launches-four-attacks-48-hours,https://www.thisdaylive.com/index.php/2018/12/08/boko-haram-attacks-three-borno-settlements-in-24-hours-destroys-unicef-clinic-in-rann/,https://www.vanguardngr.com/2018/12/civilians-killed-as-nigerian-troops-fight-boko-haram-at-flashpoint-village/,12.14985,13.90942001,"Kaga, Borno, Nigeria"
6317,Boko Haram kills two soldiers in Nigeria attack,12/8/2018,Gulumba,Bama,Borno,2.0,Boko Haram,State Actor,,,,,,,,1.0,2.0,,,,,,,,,,,,Gun,,Suicide Bombing,,,,Government Building,,,,,,,https://guardian.ng/news/boko-haram-kills-two-soldiers-in-nigeria-attack/,https://www.thisdaylive.com/index.php/2018/12/10/shekaus-boko-haram-kills-two-soldiers-in-another-borno-attack/,https://punchng.com/boko-haram-kills-two-soldiers-in-saturday-attack/,11.5178,13.69797993,"Bama, Borno, Nigeria"
6324,10 Arrested As Police Fire Tear-Gas Cannisters At AAC Party Members,12/10/2018,,Lagos State,Lagos,0.0,,State Actor,,,,,,,,,,,,,,,,,0.0,,,,,,,Other,,,Government Building,,,,,,,http://saharareporters.com/2018/12/10/breaking-10-arrested-police-fire-tear-gas-cannisters-aac-party-members,,,6.45471,3.38876009,"Lagos State, Lagos, Nigeria"
